osmotic  Ion str. g(H2O)   g(H)     g(Na)    g(Mg)    g(Ca)    g(K)     g(MgOH)  g(TRISH) g(Cl)    g(SO4)   g(HSO4)  g(OH)    g(TRIS)   [H]      [Na]     [Mg]     [Ca]     [K]     [MgOH]    [TRISH]  [Cl]     [SO4]    [HSO4]   [OH]     [TRIS]  
0.741220 0.300000 0.996002 0.648346 0.690361 0.185759 0.148982 0.681470 0.631907 0.631907 0.848152 0.159446 0.631584 0.629944 1.000000  0.000000 0.000000 0.000000 0.000000 0.000000 0.200000 0.000000 0.000000 0.100000 0.000000 0.000000 0.000000 
0.559457 3.000000 0.970216 0.408510 0.532778 0.126503 0.090373 0.523056 0.385212 0.385212 0.694979 0.022019 0.384906 0.375027 1.000000  0.000000 0.000000 0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 
0.910253 0.100000 0.996726 0.825444 0.790175 0.405783 0.439875 0.758287 0.741072 0.741072 0.904077 0.301226 0.741072 0.741072 1.000000  0.000000 0.000000 0.000000 0.000000 0.000000 0.100000 0.000000 0.000000 0.000000 0.100000 0.000000 0.000000 
0.822045 1.000000 0.970816 1.004014 0.715446 0.335959 0.431796 0.554347 0.500362 0.500362 1.083741 0.062561 0.500362 0.500362 1.000000  0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 
0.910253 0.100000 0.996726 0.741072 0.779763 0.301226 0.244840 0.793587 0.741072 0.741072 0.896156 0.300444 0.741072 0.741072 1.000000  0.000000 0.000000 0.000000 0.000000 0.000000 0.100000 0.000000 0.000000 0.000000 0.000000 0.100000 0.000000 
0.822045 1.000000 0.970816 0.500362 0.694018 0.062561 0.032821 0.787695 0.500362 0.500362 0.992448 0.060956 0.500362 0.500362 1.000000  0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 
0.910253 0.100000 0.996726 0.798522 0.780509 0.402315 0.401661 0.770191 0.905163 0.741072 0.741072 0.302433 0.740184 0.733698 1.000000  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.100000 0.100000 0.000000 0.000000 0.000000 0.000000 
0.822045 1.000000 0.970816 0.849735 0.686779 0.338206 0.318322 0.626538 1.096825 0.500362 0.500362 0.065114 0.494394 0.452746 1.000000  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000 
0.741220 0.300000 0.996002 0.648346 0.690361 0.185759 0.148982 0.681470 0.631907 0.631907 0.634115 0.159446 0.631584 0.629944 1.000000  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.200000 0.000000 0.100000 0.000000 0.000000 0.000000 
0.559457 3.000000 0.970216 0.408510 0.532778 0.126503 0.090373 0.523056 0.385212 0.385212 0.400614 0.022019 0.384906 0.375027 1.000000  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.000000 0.000000 1.000000 0.000000 0.000000 0.000000 
